"variant","net_revenue","price","minimum","suggested"
"3",4.5,5,0,"19"
"3",0,0,0,"19"
"3",6.4,7,0,"19"
"3",0,0,0,"19"
"3",0,0,0,"19"
"3",0,0,0,"19"
"3",9.25,10,0,"19"
"3",4.5,5,0,"19"
"3",0,0,0,"19"
"3",0,0,0,"19"
"3",0,0,0,"19"
"3",0,0,0,"19"
"3",0,0,0,"19"
"3",0,0,0,"19"
"3",18.75,20,0,"19"
"3",9.25,10,0,"19"
"3",0,0,0,"19"
"3",9.25,10,0,"19"
"3",4.5,5,0,"19"
"3",18.75,20,0,"19"
"3",18.75,20,0,"19"
"3",17.8,19,0,"19"
"3",8.3,9,0,"19"
"3",9.25,10,0,"19"
"3",14,15,0,"19"
"3",9.25,10,0,"19"
"3",23.5,25,0,"19"
"3",14,15,0,"19"
"3",0,0,0,"19"
"3",0,0,0,"19"
"3",28.25,30,0,"19"
"3",9.25,9.99,0,"19"
"3",0,0,0,"19"
"3",0,0,0,"19"
"3",17.8,19,0,"19"
"3",9.25,10,0,"19"
"3",2.6,3,0,"19"
"3",2.13,2.5,0,"19"
"3",17.8,19,0,"19"
"3",10.2,11,0,"19"
"3",0,0,0,"19"
"3",3.55,4,0,"19"
"3",14,15,0,"19"
"3",18.75,20,0,"19"
"3",9.25,10,0,"19"
"3",13.05,14,0,"19"
"3",18.75,20,0,"19"
"3",7.35,8,0,"19"
"5",9.25,10,10,"19"
"5",9.25,10,10,"19"
"5",18.75,20,10,"19"
"5",14,15,10,"19"
"5",9.25,10,10,"19"
"5",10.2,11,10,"19"
"5",9.25,10,10,"19"
"5",9.25,10,10,"19"
"5",9.25,10,10,"19"
"5",9.25,10,10,"19"
"5",9.25,10,10,"19"
"5",9.25,10,10,"19"
"5",9.25,10,10,"19"
"5",9.25,10,10,"19"
"5",9.25,10,10,"19"
"5",9.25,10,10,"19"
"5",18.75,20,10,"19"
"5",9.25,10,10,"19"
"5",18.75,20,10,"19"
"5",9.25,10,10,"19"
"5",16.85,18,10,"19"
"1",17.8,19,19,"19"
"1",17.8,19,19,"19"
"1",17.8,19,19,"19"
"1",17.8,19,19,"19"
"1",17.8,19,19,"19"
"1",17.8,19,19,"19"
"1",17.8,19,19,"19"
"1",17.8,19,19,"19"
"1",17.8,19,19,"19"
"1",17.8,19,19,"19"
"1",17.8,19,19,"19"
"4",0.7,1,0,"29"
"4",28.25,30,0,"29"
"4",9.25,10,0,"29"
"4",18.75,20,0,"29"
"4",0,0,0,"29"
"4",4.5,5,0,"29"
"4",9.25,10,0,"29"
"4",0,0,0,"29"
"4",4.5,5,0,"29"
"4",5.45,6,0,"29"
"4",33,35,0,"29"
"4",0,0,0,"29"
"4",0,0,0,"29"
"4",4.5,5,0,"29"
"4",7.35,8,0,"29"
"4",18.75,20,0,"29"
"4",28.25,30,0,"29"
"4",0,0,0,"29"
"4",4.5,5,0,"29"
"4",0,0,0,"29"
"4",9.25,10,0,"29"
"4",0,0,0,"29"
"4",0,0,0,"29"
"4",9.25,10,0,"29"
"4",0,0,0,"29"
"4",0,0,0,"29"
"4",11.15,12,0,"29"
"4",0,0,0,"29"
"4",0,0,0,"29"
"4",17.8,19,0,"29"
"4",27.3,29,0,"29"
"4",0.7,0.99,0,"29"
"6",9.25,10,10,"29"
"6",9.25,10,10,"29"
"6",23.5,25,10,"29"
"6",10.2,11,10,"29"
"6",9.25,10,10,"29"
"6",14,15,10,"29"
"6",14,15,10,"29"
"6",18.75,20,10,"29"
"6",9.25,10,10,"29"
"6",9.25,10,10,"29"
"6",9.25,10,10,"29"
"6",9.25,10,10,"29"
"6",9.25,10,10,"29"
"6",9.25,10,10,"29"
"6",14,15,10,"29"
"6",9.25,10,10,"29"
"7",23.5,25,20,"29"
"7",37.75,40,20,"29"
"7",18.75,20,20,"29"
"7",18.75,20,20,"29"
"7",18.75,20,20,"29"
"7",18.75,20,20,"29"
"7",18.75,20,20,"29"
"7",18.75,20,20,"29"
"7",18.75,20,20,"29"
"7",18.75,20,20,"29"
"7",18.75,20,20,"29"
"7",18.75,20,20,"29"
"7",18.75,20,20,"29"
"7",18.75,20,20,"29"
"7",30.15,32,20,"29"
"7",18.75,20,20,"29"
"7",18.75,20,20,"29"
"7",19.7,21,20,"29"
"7",18.75,20,20,"29"
"7",23.5,25,20,"29"
"7",18.75,20,20,"29"
"2",27.3,29,29,"29"
"2",27.3,29,29,"29"
"2",27.3,29,29,"29"
"2",27.3,29,29,"29"
"2",27.3,29,29,"29"
"2",27.3,29,29,"29"
"2",27.3,29,29,"29"
"2",27.3,29,29,"29"
"2",27.3,29,29,"29"
"2",27.3,29,29,"29"
"2",27.3,29,29,"29"
"2",27.3,29,29,"29"
"2",27.3,29,29,"29"
"2",27.3,29,29,"29"
